date,cases,deaths,cases_diff
2020-01-21,1,0,
2020-01-31,7,0,6
2020-02-29,70,1,63
2020-03-31,188461,4304,188391
2020-04-30,1075758,63140,887297
2020-05-31,1799302,104379,723544
2020-06-30,2653321,127462,854019
2020-07-31,4571669,153862,1918348
2020-08-31,6045457,183472,1473788
2020-09-30,7262735,206852,1217278
2020-10-31,9209007,230512,1946272
2020-11-30,13615321,268031,4406314
2020-12-31,20024801,346050,6409480
2021-01-31,26221675,441299,6196864
2021-02-28,28624161,512979,2402486
2021-03-31,30478886,551661,1854725
2021-04-30,32362374,575640,1883488
2021-05-31,33277912,594321,915538
2021-06-30,33639764,604460,361852
2021-07-31,35018564,612919,1378800
2021-08-31,39316629,640519,4298065
2021-09-30,43458032,698136,4141403
2021-10-31,45934098,745743,2476076
2021-11-30,48520792,781183,2586694
2021-12-31,54689367,824336,6178575
2022-01-31,74989495,885943,20300128
2022-02-28,78942813,948855,3943318
2022-03-31,80004185,979236,1061372
2022-04-30,81259033,992010,1254848
2022-05-31,84140997,1003571,2881964
2022-06-30,87469077,1014452,3328080
2022-07-31,91114530,1026331,3645453
2022-08-31,94335008,1042167,3220478
2022-09-30,96144226,1055290,1809228
2022-10-31,97233018,1066150,1088792
2022-11-30,98516131,1087873,1283113
2022-12-31,100462184,1099837,1946049
2023-01-31,102070172,1115001,1607988
2023-02-28,103143908,1127272,1073736
2023-03-23,103910034,1135343,766126
